Iteration	bicycle	car	car_passenger	drt	pt	walk
0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0
9	0.021563790570692094	0.3874830233653926	0.08740541589290168	0.0	0.03926106599406857	0.2180769976994928
10	0.024862108151556307	0.3914604063305524	0.0901355359073145	0.018750519692896143	0.03999556528728623	0.2228997477757144
11	0.02771695446104382	0.39464785609357245	0.09261620333157793	0.03693284181934089	0.04057762133096815	0.22700185703594888
12	0.03090440422406386	0.39827877712796916	0.09524931400537709	0.05433908922087641	0.04122896976080268	0.2308683721832645
13	0.03357909032955459	0.40175725491283015	0.09774383990687104	0.07019318717259347	0.04171401646387095	0.23412511433243716
14	0.03625377643504532	0.40463981817677874	0.0999334793092935	0.08539593669447601	0.04228221403032235	0.23760359211729815
15	0.039205632085146484	0.40732836275949996	0.10188752459879709	0.09883865960808226	0.042822694642312704	0.24056930624462983
16	0.041630865600487815	0.41012777516006543	0.10391086227445329	0.11254469358906843	0.043515618503838796	0.24381218991657197
17	0.043765071093988195	0.41274702735663404	0.1057540397461127	0.12589040716206104	0.04397294825244602	0.24651459297652373
18	0.04570525790626126	0.4149921006679786	0.10751406635438898	0.13765625433077414	0.04447185343274481	0.24925857146816707
19	0.047479142991768065	0.41722331550209263	0.10935724382604839	0.15048920424623743	0.045026192521965686	0.2520025499598104
20	0.04989051802987888	0.4198841431303528	0.1106322237312564	0.16057817567005736	0.04527564511211508	0.2544970758613044
21	0.0521217328639929	0.42199063166939216	0.11194877906815599	0.1715540896366307	0.04566368247456969	0.2571717619667951
22	0.053992627290113365	0.424083261731201	0.11355636242689653	0.18167077801491172	0.04613487070040744	0.25972172177721115
23	0.05575265389838965	0.4263283350425455	0.11521937969455916	0.19128856121289392	0.04646747415393997	0.26253499265500707
24	0.057581972892818536	0.4281437955597439	0.11664680284930291	0.20015798664042794	0.04682779456193353	0.26411485905928656
25	0.05874608498018238	0.42994539759971173	0.11799107514066354	0.20755841348152665	0.04709110562931345	0.2654452728734167
26	0.060228942043848224	0.43184400898029324	0.11934920590925469	0.21633082956844701	0.04738213365115441	0.2674547520718423
27	0.06197511017489398	0.43378419579256633	0.12072119515507636	0.22427173702153608	0.047770171013609024	0.26897918456719977
28	0.0634441087613293	0.4350868926522354	0.1222040522187422	0.2322542199063167	0.04811663294437207	0.27069763574378447
29	0.06448349455361845	0.43663904210205384	0.12303556085257351	0.23855982704620415	0.04831065162559938	0.27236065301144713
30	0.06592477618559273	0.4382604839380249	0.12404722969040162	0.24449125530086754	0.04856010421574877	0.27384351007511293
31	0.06710274675018708	0.43932758668477506	0.1250450400509992	0.2506721361456803	0.048837273760359214	0.2754095180021619
32	0.06785110452063527	0.4404639818176779	0.12595969954821365	0.2563818287646553	0.04907286787327808	0.2767260733390615
33	0.06895978269907703	0.4415726599961196	0.126818925136506	0.2623686909282408	0.049308461986196955	0.27813963801657476
34	0.06990215915075251	0.4425011779705646	0.12774744311095096	0.2676210537986086	0.04939161284958009	0.279234457717786
35	0.07060894148950914	0.443415837467779	0.12850965935862968	0.2728872751462069	0.04969649934865157	0.2809113334626791
36	0.07144045012334045	0.4445106571689903	0.12924415865184732	0.27800105324426955	0.04986280107541783	0.2820615870728124
37	0.07232739266609385	0.4454807505751268	0.12988164860445134	0.2828376617977217	0.05007067823387566	0.28305939743341
38	0.07326976911776933	0.44645084398126333	0.1307963081016658	0.28682890324011195	0.05020926300618088	0.28404334931677705
39	0.07421214556944483	0.44749022977355246	0.13139222262257824	0.2899470606169794	0.0503478477784861	0.2848887164278389
40	0.0750159372488151	0.4480307103855428	0.1322653066881011	0.2935502646969151	0.05058344189140497	0.28596967765181963
41	0.07561185176972754	0.4489869453144488	0.13287507968624407	0.29788796807006845	0.05070816818647967	0.28707835583026137
42	0.07611075695002634	0.44994318024335483	0.13340170182100392	0.30153274758169574	0.050874469913245936	0.28799301532747584
43	0.076845256243244	0.4507608303999556	0.13401147481914688	0.3049142160259431	0.05101305468555115	0.28872751462069346
44	0.07723329360569861	0.4516893483744006	0.13437179522714043	0.3082263920840378	0.051165497935086894	0.2894481554366806
45	0.07788464203553314	0.45213281964577734	0.1349815682252834	0.31166329443720725	0.051317941184622635	0.2900856453892846
46	0.07852213198813714	0.45285346046176445	0.13545275645112115	0.3147260179051526	0.05144266747969733	0.2910003048864991
47	0.0791873388952022	0.4534493749826769	0.13603481249480306	0.31819063721278307	0.05162282768369412	0.2914576346351063
48	0.07951994234873472	0.4542808836165082	0.13667230244740708	0.32079603093212117	0.05169212006984673	0.29212284154217133
49	0.08010199839241663	0.4551955431137227	0.1371296321960143	0.32317968901577093	0.05184456331938247	0.2928157654036974
50	0.08050389423210177	0.4555974389534078	0.13750381108123838	0.3254801962360376	0.05196928961445716	0.293494830787993
