person_id;activity_index;purpose;start_time;end_time;x;y;facility_id;link_id
434642;0;home;-Infinity;52440.0;695443.205774;5358354.957039;home_434642;77158
125524;2;home;52440.0;56270.0;698344.594287;5363128.635433;home_125524;49471
309199;3;leisure;52442.0;59441.0;692887.170507;5355443.715779;sec_2454;20413
149573;2;home;52442.0;Infinity;712813.517238;5358176.711477;home_149573;38784
287790;2;home;52445.0;59372.0;672820.090321;5382041.842148;home_287790;39709
151434;7;home;52445.0;Infinity;721031.646363;5365929.334681;home_151434;26333
421486;0;home;-Infinity;52449.0;711603.136045;5345410.75706;home_421486;42247
13822;1;leisure;52449.0;57789.0;689906.561362;5383982.376179;sec_3020;41801
368748;6;home;52450.0;53589.0;681505.065206;5387458.689786;home_368748;42179
281833;2;other;52451.0;53585.0;713243.275446;5368821.186774;sec_9006;11086
415901;0;home;-Infinity;52454.0;713486.74163;5351590.166678;home_415901;56039
230277;1;other;52454.0;53872.0;681405.193843;5370059.898765;sec_11551;41580
127136;2;home;52454.0;Infinity;703105.406823;5365125.084816;home_127136;48161
424368;1;leisure;52457.0;66545.0;699400.559432;5350963.079195;sec_2459;72232
166578;3;home;52457.0;64869.0;681283.123381;5378542.618976;home_166578;55548
281487;1;other;52459.0;58739.0;694706.943893;5362333.135444;sec_8903;45334
339231;3;leisure;52461.0;61717.0;722587.335285;5340967.283562;sec_2221;26771
335776;0;home;-Infinity;52462.0;716272.9818;5354305.248159;home_335776;60752
253681;0;home;-Infinity;52463.0;716521.108622;5372821.262188;home_253681;56218
143422;4;work;52464.0;58404.0;733607.103152;5351916.911544;work_603;8843
423825;3;other;52466.0;62983.0;694686.945387;5354204.637283;sec_7082;68679
243128;2;work;52466.0;61466.0;702924.426039;5365253.15223;work_5030;31482
136184;0;home;-Infinity;52468.0;677248.67887;5382389.435329;home_136184;43773
295900;3;work;52469.0;68129.0;734972.208748;5350425.88634;work_617;81607
447820;4;home;52472.0;Infinity;684717.214658;5375175.998122;home_447820;33857
