Iteration	bicycle	car	car_passenger	drt	pt	walk
0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0
4	0.026594417805371546	0.43936916211646665	0.10776351894453838	0.0	0.049751933257573655	0.2507830039635245
5	0.02989273538623576	0.4433326866043959	0.11049363895895119	0.01880595360181823	0.05048643255079132	0.2556057540397461
6	0.032747581695723275	0.44657557027633804	0.11297430638321461	0.03711300202333768	0.05106848859447324	0.25972172177721115
7	0.0361151916627401	0.45019263283350425	0.1156212755342443	0.05464397571994789	0.05171983702430777	0.2636159538789878
8	0.03878987776823083	0.4534632334599074	0.11810194295850772	0.07053964910335653	0.05219102525014552	0.26688655450539095
9	0.041464563873721556	0.4562626458604728	0.12031929931539123	0.0858948418747748	0.05275922281659691	0.27037889076748245
10	0.04444413647828377	0.4589511904431941	0.12224562765043377	0.09933756478838106	0.05331356190581779	0.27335846337204467
11	0.04689708694808614	0.4617228858892985	0.12426896532608997	0.11308517420105879	0.05400648576734388	0.2766013470439868
12	0.04903129244158652	0.4642174117907924	0.12612600127497992	0.1264447462512819	0.05446381551595111	0.2793037501039386
13	0.050971479253859586	0.46644862662490644	0.12789988636048671	0.13829374428337815	0.0549627206962499	0.2820615870728124
14	0.052773081293827434	0.46865212450455945	0.12974306383214612	0.151168269630533	0.0555309182627013	0.2848194240416863
15	0.05518445633193825	0.47131295213281965	0.13101804373735415	0.16131267496327503	0.05578037085285069	0.2873278084204108
16	0.05741567116605228	0.473419440671859	0.1323207405970232	0.17231630588430943	0.056168408215305304	0.289988636048671
17	0.059286565592172734	0.4754150613930541	0.13392832395576373	0.182474569694282	0.056639596441143046	0.292538595859087
18	0.061046592200449015	0.47763241774993764	0.13557748274619585	0.1921616452784168	0.056986058371906095	0.2953657252141135
19	0.0628066188087253	0.47936472740375285	0.13697718894647856	0.20105878766041188	0.05734637877989966	0.29694559161839296
20	0.06397073089608914	0.48112475401202914	0.1383353197150697	0.2085285068876632	0.05760968984727958	0.2982760054325231
21	0.06545358795975498	0.48302336539261065	0.13969345048366086	0.21735635688350563	0.05788685939189002	0.30028548463094873
22	0.06719975609080074	0.48493583525042266	0.14106543972948252	0.2252972643365947	0.058274896754344635	0.30180991712630617
23	0.06866875467723607	0.4861276642922476	0.14254829679314837	0.23329360569860583	0.05862135868510768	0.30352836830289087
24	0.06970814046952521	0.48767981374206604	0.14337980542697967	0.2395992128384933	0.058815377366334985	0.30519138557055353
25	0.07117713905596053	0.4893012555780371	0.14437761578757727	0.24551678261592616	0.059064829956484384	0.30667424263421933
26	0.0723551096205549	0.49038221680201777	0.14531999223925274	0.2516560880290474	0.05934199950109482	0.3082263920840378
27	0.07310346739100308	0.4915740458438427	0.14622079325923668	0.2573519221707919	0.05959145209124422	0.30957066437539843
28	0.07421214556944483	0.49262729011336237	0.14708001884752903	0.2633665012888384	0.059827046204163084	0.3109842290529117
29	0.07515452202112032	0.4935280911333463	0.148008536821974	0.26864658111366724	0.05991019706754622	0.3120651902768924
30	0.07586130435987694	0.4944704675850218	0.1487707530696527	0.2739266609384961	0.0602150835666177	0.3137420660217855
31	0.07669281299370825	0.4955375703317719	0.1495191108401009	0.2791097314227113	0.06039524377061448	0.3148923196319188
32	0.07757975553646165	0.4964799467834474	0.1501566007927049	0.2839463399761634	0.060603120929072316	0.31591784694697744
33	0.07852213198813714	0.4973391723717398	0.15108511876714986	0.28793758141855375	0.06074170570137753	0.3169017988303445
34	0.07946450843981263	0.4983508412095679	0.15168103328806232	0.2911111727043432	0.06088029047368275	0.3177610244186369
35	0.0802683001191829	0.4988636048670972	0.15255411735358518	0.294769810693201	0.061115884586601624	0.31885584411984813
36	0.08089193159455639	0.4998198397960032	0.15316389035172814	0.299149089498046	0.06124061088167632	0.31996452229828987
37	0.08139083677485517	0.5007622162476787	0.15367665400925745	0.30280772748690377	0.061393054131212065	0.32089304027273485
38	0.08212533606807285	0.5015798664042795	0.15428642700740042	0.30618919593115107	0.06153163890351728	0.32162753956595247
39	0.08248565647606641	0.5025083843787245	0.154646747415394	0.3094736550347848	0.06169794063028355	0.32236203885917014
40	0.08313700490590094	0.5029102802184096	0.15524266193630643	0.3128551234790321	0.06185038387981929	0.3229856703345436
41	0.08380221181296599	0.5036309210343968	0.15569999168491366	0.315931705424208	0.06197511017489398	0.3239003298317581
42	0.08446741872003104	0.5041714016463871	0.15628204772859558	0.3193547493001469	0.062155270378890765	0.32434380110313477
43	0.08480002217356357	0.5049751933257574	0.15690567920396906	0.3219878599739461	0.06222456276504338	0.32500900801019983
44	0.08538207821724549	0.5057651265278971	0.1573630089525763	0.32444081044374845	0.0623631475373486	0.3257157903489565
45	0.08578397405693063	0.5061393054131212	0.15773718783780039	0.326713600709554	0.062487873832423296	0.32639485573325205
46	0.08613043598769367	0.5064719088666537	0.1583192438814823	0.3293882868150448	0.06258488317303694	0.3269353363452424
47	0.08660162421353142	0.5067490784112642	0.15867956428947588	0.3313007566728568	0.06265417555918956	0.3274619584800022
48	0.08682335984921977	0.5071371157737188	0.15902602622023893	0.3333379528257435	0.06272346794534217	0.32803015604645364
49	0.0872252556889049	0.5076360209540176	0.15931705424207987	0.33519498877463344	0.06276504337703373	0.3285013442722914
50	0.08747470827905429	0.5081626430887775	0.15967737465007345	0.336830289087835	0.06283433576318634	0.32883394772582386
