person_id;utility
107699;NaN
107700;NaN
107714;NaN
107717;NaN
107722;NaN
10773;NaN
107780;NaN
107785;NaN
107787;NaN
107790;NaN
107820;NaN
107821;NaN
107827;NaN
107837;NaN
107840;NaN
107866;NaN
107868;NaN
107881;NaN
107882;NaN
107896;NaN
107898;NaN
107908;NaN
107922;NaN
107981;NaN
10803;NaN
108063;NaN
108094;NaN
108099;-2.930158495554542
10810;NaN
108109;NaN
108137;NaN
108179;NaN
108181;NaN
108189;NaN
108192;NaN
108212;-14.311846460324343
108215;NaN
108218;NaN
108222;NaN
108226;NaN
108227;NaN
108231;NaN
108237;NaN
10824;NaN
108252;NaN
108256;NaN
108272;NaN
108300;NaN
108317;NaN
108326;NaN
108330;1.1538518532217725
108335;NaN
108342;NaN
108358;-1.2087980326002585
108365;NaN
108381;NaN
108446;NaN
108528;NaN
108538;NaN
108574;NaN
10858;NaN
108596;NaN
108608;NaN
108644;NaN
108668;NaN
108675;NaN
108708;NaN
10872;0.3087384333990566
108727;NaN
108755;NaN
10877;NaN
108775;NaN
108780;NaN
108781;NaN
108795;NaN
108801;NaN
108808;NaN
108829;0.0
108831;NaN
108839;3.09723237728236
10888;NaN
108905;NaN
108908;NaN
108921;NaN
108927;2.5075275780826436
108940;NaN
108948;NaN
108964;NaN
108972;-3.249157154570905
108995;NaN
109012;NaN
10902;NaN
10905;NaN
109069;NaN
109072;NaN
109107;NaN
109112;NaN
109124;NaN
10914;NaN
109199;NaN
109207;NaN
109228;NaN
109230;NaN
109235;NaN
109238;NaN
109252;NaN
109268;NaN
109277;NaN
109303;NaN
109308;NaN
109336;NaN
109397;NaN
109431;NaN
10945;NaN
1095;NaN
109577;NaN
109589;NaN
109619;NaN
109628;NaN
109661;NaN
109669;NaN
10967;NaN
109673;NaN
109678;NaN
109692;NaN
109703;NaN
109720;NaN
109725;NaN
109790;NaN
109791;NaN
1098;NaN
109825;NaN
109832;NaN
109903;NaN
109923;NaN
10994;NaN
109976;NaN
109982;NaN
110020;NaN
11006;NaN
11011;NaN
110115;NaN
110150;NaN
110186;NaN
110196;NaN
110198;NaN
110204;NaN
110248;NaN
110257;NaN
110258;NaN
110294;NaN
1103;NaN
110310;NaN
110322;NaN
110332;NaN
110341;-1.6048311427559372
110412;-1.973521294753108
110433;NaN
110443;NaN
110460;NaN
110489;NaN
110498;NaN
110513;NaN
110516;NaN
110529;NaN
110554;NaN
110558;NaN
110563;NaN
110570;NaN
110577;NaN
110593;NaN
110610;-4.131005827797605
110613;NaN
110625;NaN
110658;NaN
11066;NaN
110670;3.7322204571028474
110702;NaN
110707;NaN
110709;NaN
110734;NaN
110737;NaN
110754;NaN
110791;NaN
110824;NaN
110844;NaN
110851;NaN
110875;NaN
110885;NaN
1109;NaN
110951;NaN
110989;NaN
110995;NaN
111050;NaN
111059;NaN
111081;NaN
11110;NaN
111129;NaN
111158;NaN
111168;NaN
111183;NaN
111241;NaN
111279;NaN
111312;NaN
111314;NaN
111332;NaN
111342;NaN
111349;NaN
111357;NaN
111360;NaN
111369;NaN
111377;NaN
111396;NaN
111400;NaN
111407;NaN
111408;NaN
111412;NaN
111432;NaN
111433;-13.29719599761129
111464;NaN
111467;NaN
111487;NaN
111508;NaN
11155;NaN
111581;NaN
111599;NaN
111623;3.542059028179654
111625;NaN
111636;NaN
111645;NaN
111656;NaN
111667;3.683739432472891
111677;NaN
111712;NaN
111729;NaN
111734;NaN
111751;NaN
111761;NaN
111783;NaN
111808;NaN
111904;NaN
111942;NaN
111978;NaN
111985;NaN
112017;NaN
112066;NaN
112079;NaN
112098;NaN
112099;NaN
112110;NaN
112122;NaN
112131;NaN
112146;NaN
112147;NaN
112161;NaN
112166;NaN
112207;NaN
112208;NaN
112215;NaN
112219;NaN
112231;NaN
112232;29.693304902300625
112239;NaN
112292;NaN
11230;NaN
11235;NaN
112351;NaN
112367;NaN
112403;NaN
112420;1.4934056847985806
112451;NaN
112459;-2.055065947718441
112501;NaN
11252;NaN
112523;NaN
112531;NaN
11256;NaN
112562;NaN
112564;NaN
112621;NaN
112637;NaN
112655;NaN
112664;NaN
112672;NaN
112730;NaN
112737;NaN
112738;NaN
11274;NaN
112759;NaN
112804;NaN
112845;NaN
112851;NaN
112890;NaN
112892;NaN
112911;NaN
112951;NaN
112987;NaN
113021;NaN
113040;NaN
113093;NaN
113151;NaN
113166;-3.285202736406598
113185;3.456202994039761
11319;NaN
113191;NaN
113238;NaN
113248;NaN
113278;NaN
113374;NaN
113398;NaN
113405;NaN
113410;NaN
113419;NaN
113424;NaN
11345;NaN
113452;NaN
113493;NaN
113494;NaN
113496;NaN
113517;NaN
113546;NaN
11356;NaN
113563;NaN
113570;NaN
113581;NaN
113629;1.7677269334116024
113649;NaN
113654;NaN
113702;NaN
113763;NaN
113803;NaN
113807;NaN
113825;NaN
113835;NaN
113853;NaN
113876;NaN
11388;NaN
113888;NaN
113890;NaN
113956;NaN
113985;NaN
113987;NaN
113999;NaN
114013;NaN
114036;NaN
114051;NaN
114076;NaN
114080;NaN
114112;0.0
114141;NaN
114148;NaN
114164;2.9326603404434604
11422;NaN
114231;NaN
114232;NaN
114242;NaN
114281;NaN
114306;NaN
114314;0.0
114355;NaN
114375;NaN
114427;NaN
114428;NaN
114432;NaN
114464;NaN
114479;NaN
114552;NaN
11456;NaN
11457;NaN
114574;NaN
114600;NaN
114608;NaN
114613;NaN
114645;NaN
114676;NaN
114708;NaN
114709;NaN
114718;NaN
114725;NaN
114736;NaN
11476;NaN
114760;NaN
114793;NaN
114794;NaN
11481;NaN
114815;NaN
114819;NaN
114825;NaN
114832;NaN
114856;NaN
11487;NaN
114908;NaN
11492;NaN
114922;NaN
114937;NaN
114940;NaN
114965;NaN
114977;NaN
114989;NaN
114996;13.955239750485148
115047;NaN
115063;NaN
115083;-2.226717106850247
115109;NaN
115125;6.942272958281621
115129;NaN
115132;NaN
115153;NaN
115174;NaN
115187;NaN
115196;NaN
115235;NaN
115275;NaN
115289;NaN
115306;NaN
115332;NaN
115356;NaN
115358;NaN
115397;NaN
115420;NaN
115423;NaN
115425;NaN
115434;NaN
115479;NaN
115481;NaN
115483;NaN
115515;NaN
115554;NaN
115558;NaN
115586;NaN
11559;NaN
115623;0.0
115634;NaN
115638;NaN
115648;NaN
115651;9.560667627599704
115672;NaN
115673;NaN
115686;NaN
115697;NaN
115704;NaN
115773;NaN
115785;NaN
115789;NaN
115829;NaN
115831;NaN
115838;NaN
115848;NaN
115887;-3.7384023180742223
115904;3.0477856725426142
11595;NaN
115968;NaN
115989;NaN
116020;NaN
116021;NaN
116036;0.0
116056;NaN
116058;NaN
116094;NaN
116101;NaN
116113;NaN
116137;NaN
116144;NaN
116157;NaN
116165;NaN
116166;NaN
116189;NaN
116205;NaN
116209;NaN
116223;NaN
116249;NaN
116251;NaN
116276;NaN
116289;NaN
116293;NaN
116296;NaN
116345;NaN
116360;-1.0358959747563525
11639;NaN
116417;NaN
116419;NaN
116430;-2.711002281833373
116431;NaN
116453;NaN
116471;NaN
116474;NaN
116490;NaN
116495;NaN
116552;NaN
116557;NaN
11657;2.8822602147346723
116622;NaN
116625;NaN
116635;NaN
116646;NaN
116650;NaN
116669;NaN
116671;NaN
116755;NaN
11676;NaN
116766;NaN
116768;NaN
116780;NaN
116798;NaN
116811;NaN
116813;-2.4159038302145
116819;NaN
116844;NaN
116855;-7.366513594292727
116877;NaN
116899;-4.166125572266422
11690;NaN
116905;NaN
116906;NaN
116932;NaN
116960;NaN
116988;NaN
117040;NaN
117049;NaN
117054;NaN
117066;-2.781617424299781
117093;NaN
117100;NaN
117124;NaN
117141;NaN
11716;NaN
117192;NaN
117226;NaN
117238;NaN
117248;NaN
117252;NaN
117259;NaN
11730;NaN
117318;NaN
117319;NaN
117325;NaN
117339;NaN
117374;NaN
117384;NaN
117389;NaN
117396;NaN
117444;NaN
117446;NaN
117474;NaN
117483;1.402380659492482
117493;NaN
11750;NaN
117500;NaN
117506;NaN
117513;NaN
117517;NaN
117555;NaN
117559;NaN
117562;NaN
117573;NaN
117582;NaN
117587;NaN
117602;NaN
117622;NaN
117626;NaN
117656;NaN
117696;NaN
117699;NaN
117709;NaN
117726;NaN
11775;NaN
117791;-3.7391847430422445
117812;NaN
117823;NaN
117859;NaN
117866;-2.1637794440859617
117869;NaN
117876;NaN
117881;NaN
117918;NaN
117924;NaN
117938;NaN
117964;NaN
117966;NaN
117968;0.0
117990;NaN
1180;NaN
118004;NaN
118025;1.2004385850195025
118032;NaN
118037;NaN
118061;NaN
118065;NaN
118081;NaN
118103;NaN
118118;NaN
118121;NaN
118142;-3.3193189752273637
118143;NaN
118145;NaN
118148;NaN
118153;NaN
118177;NaN
118186;NaN
118190;NaN
118195;NaN
118221;NaN
118231;NaN
118235;NaN
11824;NaN
118261;NaN
118262;NaN
118283;NaN
118305;-0.8002873074222425
118326;NaN
118327;NaN
118366;NaN
11837;6.035062908733236
118380;NaN
118413;NaN
118459;NaN
118470;NaN
118477;NaN
118492;NaN
118516;NaN
118518;NaN
118548;NaN
118577;NaN
118595;NaN
1186;NaN
118610;NaN
118619;NaN
118629;-4.858790681991985
118633;NaN
118653;NaN
118665;NaN
118682;NaN
118688;NaN
118689;NaN
11869;NaN
118710;NaN
118752;NaN
118756;NaN
118811;NaN
118959;NaN
118979;NaN
118982;NaN
11899;NaN
119004;-3.141140786056824
119006;NaN
119014;NaN
119020;NaN
119111;NaN
11916;NaN
119163;NaN
119175;NaN
119184;NaN
119185;NaN
119220;-0.2158215228148248
119229;NaN
119235;-1.057796379764295
11933;NaN
119338;NaN
119343;NaN
119345;NaN
11935;-1.686147728587057
119362;-4.299345866354177
119396;NaN
119397;NaN
119408;NaN
119438;NaN
119461;NaN
119473;NaN
119479;NaN
119483;NaN
119496;-2.9371716361090927
119497;NaN
11950;NaN
11953;NaN
11956;NaN
119571;NaN
119603;NaN
119611;NaN
119653;NaN
119665;NaN
119694;NaN
119696;NaN
11976;NaN
119763;NaN
119810;NaN
119827;NaN
119833;3.651770856422527
119846;NaN
11988;NaN
119920;1.0215486721885811
119935;NaN
119980;NaN
119986;NaN
119995;NaN
119998;NaN
120022;NaN
12003;NaN
12009;NaN
120103;1.2862095411795234
120133;NaN
120154;NaN
120157;NaN
120168;NaN
12017;NaN
120175;NaN
120180;10.222209052057872
120219;NaN
120223;NaN
120229;NaN
120247;5.027539679539776
120254;NaN
12026;NaN
120288;NaN
120315;NaN
12037;NaN
120375;NaN
120394;-2.178491985598078
120426;NaN
120462;NaN
120479;NaN
120519;NaN
120521;NaN
12054;NaN
120543;NaN
120578;NaN
12058;NaN
120628;NaN
120636;NaN
120637;NaN
120696;NaN
120705;NaN
120719;NaN
120720;NaN
120726;-0.4244115290648096
120732;NaN
12075;NaN
120785;NaN
120802;NaN
120813;NaN
120818;NaN
120831;NaN
120841;NaN
120868;NaN
120870;NaN
120923;NaN
120927;8.41619877153886
120933;NaN
120962;6.226046268765632
120968;NaN
121012;NaN
121026;NaN
121028;NaN
12103;NaN
121043;NaN
12105;NaN
121052;NaN
121078;NaN
121118;NaN
121148;NaN
121200;NaN
121230;NaN
121266;NaN
121267;NaN
121286;NaN
121288;NaN
121292;NaN
121317;NaN
121320;NaN
121329;NaN
121335;NaN
121339;NaN
12135;NaN
121360;NaN
121377;NaN
12138;NaN
121385;NaN
121392;NaN
121403;NaN
121406;-0.2545709931964497
121408;NaN
121428;NaN
121444;NaN
121454;NaN
121465;NaN
121468;NaN
121470;NaN
121491;NaN
121494;NaN
121500;NaN
121519;NaN
121529;NaN
121546;NaN
121580;NaN
121586;NaN
121634;NaN
121637;NaN
121650;NaN
121692;NaN
121694;NaN
121696;NaN
1217;NaN
121709;NaN
121755;-0.716866865448035
121793;NaN
121798;NaN
121806;0.6569803073749473
12182;NaN
121821;NaN
121836;NaN
121907;NaN
121909;NaN
121913;NaN
121919;NaN
121946;NaN
121962;NaN
121973;NaN
121976;1.4796854105668422
121981;NaN
121982;NaN
121991;NaN
122041;NaN
122048;NaN
122060;-4.395865680978217
122109;NaN
122126;NaN
122140;NaN
122160;NaN
122175;NaN
122224;NaN
122262;NaN
122279;NaN
122287;NaN
122294;NaN
122295;-5.315400805473331
122298;NaN
122302;NaN
122313;NaN
122317;3.645955078525586
122339;NaN
122352;NaN
122359;NaN
122364;NaN
122379;NaN
122381;NaN
122398;NaN
122399;NaN
122419;NaN
122449;NaN
122453;NaN
12246;NaN
122465;NaN
12248;NaN
122488;NaN
122528;NaN
122566;NaN
122596;NaN
122603;NaN
122607;NaN
122612;NaN
122615;NaN
122640;NaN
12267;3.423120885502112
122670;NaN
122681;NaN
122696;NaN
122703;NaN
122707;NaN
122745;NaN
12275;NaN
122758;NaN
122770;-1.3448139130521315
122771;NaN
12281;4.161729326589185
122832;NaN
122853;NaN
122858;NaN
12287;NaN
122913;NaN
122920;NaN
122944;NaN
12295;NaN
122981;NaN
122983;NaN
12300;NaN
123011;NaN
123033;NaN
123041;-1.9417146866366792
123046;NaN
123054;NaN
12309;NaN
123103;NaN
123125;NaN
123134;NaN
12320;NaN
123226;NaN
123253;NaN
123303;NaN
123317;0.5067749849338257
123341;NaN
123350;NaN
123374;NaN
123382;NaN
123395;-0.6441251175635723
123399;NaN
123407;NaN
123416;NaN
12342;NaN
123427;NaN
123451;NaN
123463;NaN
123479;NaN
123525;NaN
123558;NaN
12357;NaN
123611;NaN
123626;NaN
123635;NaN
123638;NaN
123658;NaN
123674;NaN
123695;-1.7007148230761662
123744;NaN
123766;NaN
123767;NaN
123776;1.2660164788097104
123794;NaN
123802;NaN
123825;NaN
123828;NaN
123872;NaN
123880;NaN
123903;NaN
123913;NaN
123962;NaN
123963;NaN
123968;NaN
123969;NaN
123995;NaN
123998;1.5390397530633804
124006;NaN
124008;2.5521929718791903
12402;NaN
12403;NaN
124035;NaN
124043;3.2273042073152447
12405;NaN
124078;NaN
124093;NaN
124101;NaN
124130;NaN
124142;NaN
124153;NaN
124158;NaN
124183;2.6457059667440115
124185;NaN
124231;NaN
12429;NaN
124293;NaN
124331;NaN
124393;-20.466416288379772
124409;-3.0444422357636394
124424;NaN
124442;3.8979114257739518
124445;NaN
124478;NaN
124520;NaN
124533;NaN
124558;NaN
124561;NaN
124653;9.700180162692742
124669;NaN
124674;NaN
124725;NaN
124743;NaN
124760;NaN
124763;0.2910473852181441
124774;NaN
124803;NaN
124829;NaN
12483;NaN
124832;NaN
124836;NaN
124839;NaN
12485;NaN
124863;NaN
124867;NaN
124878;NaN
124891;NaN
124913;NaN
124932;NaN
124938;NaN
124947;NaN
12496;NaN
124984;NaN
12499;NaN
124999;NaN
125008;NaN
125043;NaN
125055;NaN
125068;NaN
1251;NaN
125100;NaN
125103;NaN
125108;NaN
125118;NaN
125138;-1.860780592158847
125155;NaN
125191;NaN
125243;NaN
125266;NaN
125292;NaN
125330;NaN
125340;NaN
125345;NaN
125356;NaN
125371;NaN
125375;NaN
125392;0.6215799863661777
125407;NaN
125439;NaN
125443;NaN
12547;0.0
125470;NaN
125476;NaN
125477;NaN
125483;NaN
125513;NaN
125524;NaN
125525;NaN
125553;NaN
125560;NaN
125567;NaN
125609;NaN
125612;NaN
125631;NaN
125657;NaN
12566;NaN
125660;NaN
125712;NaN
125785;2.0222005726066903
125821;NaN
125837;NaN
125881;NaN
125922;NaN
125951;NaN
125968;NaN
12597;NaN
125978;NaN
126016;NaN
126050;NaN
126067;NaN
126108;2.399635135998762
126127;NaN
126143;NaN
126149;NaN
12616;NaN
126195;NaN
126200;NaN
126219;NaN
126230;NaN
126256;NaN
126264;NaN
126269;NaN
126278;NaN
126286;NaN
126334;5.376875084081028
126339;0.0
126369;NaN
126375;NaN
126381;NaN
126409;NaN
126410;NaN
126414;-8.729497718738207
126425;NaN
126443;NaN
126451;NaN
126502;NaN
126551;NaN
126575;NaN
126591;NaN
126599;NaN
126620;NaN
126666;11.339951699922649
126711;NaN
126821;NaN
126849;NaN
126860;NaN
126867;NaN
1269;NaN
126911;NaN
126929;NaN
126956;NaN
126986;NaN
126991;NaN
127000;NaN
127005;NaN
127014;7.650515430695966
127023;NaN
127025;NaN
127053;NaN
127069;NaN
127078;NaN
127096;NaN
127120;NaN
127127;NaN
127131;NaN
127136;NaN
127138;NaN
127159;NaN
12717;NaN
127172;NaN
127196;NaN
12722;NaN
127222;NaN
127253;NaN
127306;NaN
127328;NaN
127362;NaN
12739;NaN
12740;NaN
127407;NaN
127467;NaN
127481;0.8276644024504936
127507;NaN
127523;NaN
127548;NaN
127552;NaN
127555;NaN
127600;NaN
12761;4.884647447154158
127622;NaN
127629;NaN
127634;NaN
127644;NaN
127649;NaN
127655;NaN
12766;NaN
12769;NaN
127705;0.0
127735;NaN
127746;NaN
127748;NaN
127774;NaN
127834;NaN
127840;1.9422570483820507
127854;NaN
127904;NaN
127907;NaN
127908;NaN
12791;NaN
127925;NaN
127932;NaN
127947;NaN
127998;NaN
12802;NaN
128032;NaN
128033;NaN
128040;NaN
128074;NaN
128091;NaN
128103;NaN
128121;NaN
128123;NaN
128141;NaN
128153;NaN
128199;NaN
128205;NaN
128247;0.0
128249;NaN
128252;4.996507949078811
12828;NaN
128313;NaN
128346;NaN
128355;NaN
128358;NaN
128359;NaN
128371;NaN
128404;NaN
128436;NaN
12844;NaN
128443;NaN
12849;NaN
128490;NaN
128499;NaN
128505;NaN
128518;NaN
128527;NaN
128544;NaN
128552;NaN
128577;NaN
128613;NaN
128623;NaN
128625;NaN
128636;NaN
128637;NaN
128651;NaN
128652;NaN
128696;NaN
128712;NaN
128714;NaN
128716;NaN
128718;NaN
128724;NaN
128730;NaN
128731;NaN
12876;NaN
128771;NaN
128795;NaN
128826;NaN
128858;NaN
128863;NaN
128867;NaN
12888;NaN
1289;NaN
128965;NaN
128967;NaN
128969;NaN
128979;NaN
129022;NaN
129107;NaN
129127;NaN
129138;NaN
129139;NaN
129154;NaN
129185;NaN
129211;NaN
129238;NaN
129313;NaN
129316;NaN
129355;NaN
12938;NaN
129385;NaN
129388;NaN
129391;NaN
129399;NaN
129430;NaN
129450;NaN
129454;NaN
129484;NaN
129506;NaN
12957;NaN
129586;NaN
129609;NaN
129622;NaN
129637;NaN
129672;NaN
129676;NaN
129762;-0.16806613396823145
12977;NaN
129780;NaN
129791;NaN
129826;NaN
129830;2.1484744821572668
129839;NaN
129841;NaN
129852;NaN
129858;NaN
129864;NaN
129867;NaN
129869;NaN
129875;NaN
129876;NaN
129903;-1.6969122053472172
129918;NaN
129920;NaN
129941;-3.3636701345587854
129944;2.368544932608093
129946;NaN
129996;5.631482136233841
130003;NaN
130020;NaN
130031;0.0
130039;NaN
130046;NaN
130062;NaN
130067;NaN
130100;NaN
130126;-1.6710801895494902
130129;NaN
130133;NaN
13014;NaN
130145;1.9505835573746735
130169;NaN
130186;NaN
130281;NaN
130323;NaN
130333;NaN
130363;NaN
130369;NaN
130375;NaN
130398;NaN
130439;NaN
130445;NaN
130446;NaN
130450;NaN
130458;NaN
130460;NaN
130465;NaN
130466;NaN
130485;NaN
130486;NaN
130511;NaN
13056;0.5937108895601124
130568;-2.6716925494335366
130578;NaN
13059;NaN
130628;NaN
130637;NaN
130646;NaN
130651;NaN
130673;NaN
130674;NaN
130709;NaN
130710;-3.898473737049438
130715;NaN
130729;NaN
130738;NaN
130747;NaN
130818;NaN
130820;NaN
130824;NaN
130829;NaN
130842;-0.6748340145812515
130853;NaN
130854;NaN
130926;NaN
130940;0.0
130952;NaN
131008;NaN
131011;NaN
131053;NaN
131069;NaN
131081;NaN
131085;NaN
13112;NaN
131128;NaN
131186;NaN
131210;NaN
131216;NaN
131234;NaN
131251;NaN
131259;NaN
13127;NaN
131283;6.027024338125952
131289;NaN
131309;NaN
131314;1.768291707938555
131369;NaN
131378;NaN
131397;NaN
13143;NaN
131438;NaN
131471;NaN
131477;NaN
13148;NaN
131487;NaN
131526;NaN
131532;NaN
131547;NaN
131560;0.0
131582;NaN
1316;NaN
131628;NaN
13163;NaN
131658;NaN
131709;NaN
131747;NaN
13175;NaN
131809;NaN
13182;NaN
131830;NaN
131832;NaN
131833;NaN
131841;NaN
131848;NaN
13187;NaN
131898;NaN
131899;NaN
131917;NaN
131935;NaN
131941;NaN
131958;NaN
131962;NaN
131994;NaN
131999;NaN
132003;NaN
132006;NaN
132012;NaN
132031;NaN
13206;NaN
132065;NaN
132080;NaN
132096;NaN
132108;NaN
132111;NaN
132118;NaN
132121;4.574419499298502
132125;NaN
132130;NaN
132137;NaN
132138;NaN
13215;NaN
132202;NaN
132206;NaN
132211;NaN
132251;NaN
132266;NaN
132299;NaN
132317;3.5228958325818507
132323;NaN
132328;NaN
132380;NaN
132381;NaN
132388;NaN
132474;NaN
132482;1.1915449769467916
132483;0.08561339649318087
132500;NaN
132526;NaN
132530;NaN
13255;NaN
132566;NaN
132574;NaN
13258;NaN
132583;NaN
13260;NaN
132627;NaN
132660;6.242557439422754
132671;NaN
132679;NaN
132717;NaN
132730;-0.2780999537889097
13277;NaN
132800;NaN
132817;2.858535754564983
132852;NaN
132867;NaN
13290;NaN
132906;NaN
132907;NaN
132912;NaN
132920;NaN
13293;NaN
132968;NaN
133010;7.693356298093021
133013;NaN
133028;NaN
133038;NaN
133068;NaN
133094;NaN
133155;NaN
133171;NaN
133172;NaN
133280;3.313558069557369
133287;NaN
133305;NaN
133326;NaN
133334;NaN
133343;NaN
133416;NaN
