person_id;operator_id;main_mode;vehicle_id;origin_link_id;origin_x;origin_y;destination_link_id;destination_x;destination_y;departure_time;arrival_time;waiting_time;distance
195707;drt;drt;NaN;69439;681599.3971847614;5393591.670850173;null;NaN;NaN;16730.0;NaN;NaN;0.0
301288;drt;drt;NaN;69818;726074.6683094075;5343404.124718269;null;NaN;NaN;16767.0;NaN;NaN;0.0
334077;drt;drt;NaN;24269;734224.1902420312;5350804.798851089;null;NaN;NaN;16787.0;NaN;NaN;0.0
272321;drt;drt;NaN;50739;716520.5306039912;5344111.801890204;null;NaN;NaN;16814.0;NaN;NaN;0.0
249775;drt;drt;NaN;10363;701209.9615035842;5359677.351339377;null;NaN;NaN;16919.0;NaN;NaN;0.0
195745;drt;drt;NaN;69405;681764.2409912087;5394070.748835292;null;NaN;NaN;16973.0;NaN;NaN;0.0
168284;drt;drt;NaN;52761;684822.620782901;5371186.97246423;null;NaN;NaN;16980.0;NaN;NaN;0.0
243365;drt;drt;NaN;50911;710335.6959093036;5350869.839596282;null;NaN;NaN;17014.0;NaN;NaN;0.0
313506;drt;drt;NaN;76841;703133.9758090219;5363913.6120771;null;NaN;NaN;17035.0;NaN;NaN;0.0
191634;drt;drt;NaN;81801;710749.6934765963;5377668.7600102015;null;NaN;NaN;17053.0;NaN;NaN;0.0
190720;drt;drt;NaN;29929;713789.4790900148;5370173.641204002;null;NaN;NaN;17086.0;NaN;NaN;0.0
121043;drt;drt;NaN;35283;714487.351427342;5360365.9253389165;null;NaN;NaN;17088.0;NaN;NaN;0.0
327616;drt;drt;NaN;3385;680723.008534794;5369112.35829776;null;NaN;NaN;17106.0;NaN;NaN;0.0
233513;drt;drt;NaN;41722;683369.4264879908;5368918.91944986;null;NaN;NaN;17133.0;NaN;NaN;0.0
304996;drt;drt;NaN;26602;714115.6016101253;5360594.601672811;null;NaN;NaN;17137.0;NaN;NaN;0.0
102427;drt;drt;NaN;21803;702714.9147137506;5378592.960022276;null;NaN;NaN;17163.0;NaN;NaN;0.0
163910;drt;drt;NaN;42201;707094.2849559167;5370470.582994351;null;NaN;NaN;17166.0;NaN;NaN;0.0
216798;drt;drt;NaN;34141;694786.5781680653;5352390.465097835;null;NaN;NaN;17204.0;NaN;NaN;0.0
94342;drt;drt;NaN;1482;698569.0219607569;5354746.761991754;null;NaN;NaN;17209.0;NaN;NaN;0.0
170525;drt;drt;NaN;39138;693589.7981553744;5387175.0401900485;null;NaN;NaN;17299.0;NaN;NaN;0.0
134999;drt;drt;NaN;50013;698600.8498101465;5373314.050661667;null;NaN;NaN;17328.0;NaN;NaN;0.0
247480;drt;drt;NaN;30179;691294.7616140284;5354250.027499648;null;NaN;NaN;17372.0;NaN;NaN;0.0
295859;drt;drt;NaN;36773;736786.8489890888;5349149.679590392;null;NaN;NaN;17378.0;NaN;NaN;0.0
265907;drt;drt;NaN;19486;738664.5100746918;5354163.884838451;null;NaN;NaN;17437.0;NaN;NaN;0.0
254386;drt;drt;NaN;7995;716632.8712074719;5373844.319696665;null;NaN;NaN;17547.0;NaN;NaN;0.0
203245;drt;drt;NaN;23899;692274.8832690293;5395541.592381343;null;NaN;NaN;17628.0;NaN;NaN;0.0
205393;drt;drt;NaN;31279;734025.6771423904;5351392.928715691;null;NaN;NaN;17641.0;NaN;NaN;0.0
146896;drt;drt;NaN;22984;718952.0477162839;5359450.6686214395;null;NaN;NaN;17675.0;NaN;NaN;0.0
145128;drt;drt;NaN;3510;714821.1952676671;5355818.607470091;null;NaN;NaN;17685.0;NaN;NaN;0.0
143809;drt;drt;NaN;31628;733909.4643948985;5351437.482128677;null;NaN;NaN;17704.0;NaN;NaN;0.0
245228;drt;drt;NaN;30545;710912.6275128062;5356108.450368432;null;NaN;NaN;17708.0;NaN;NaN;0.0
82054;drt;drt;NaN;51238;735102.8779769081;5349131.367018497;null;NaN;NaN;17718.0;NaN;NaN;0.0
170687;drt;drt;NaN;9475;690270.3114264334;5383782.872455709;null;NaN;NaN;17739.0;NaN;NaN;0.0
262583;drt;drt;NaN;705;691049.5069001302;5381036.272467006;null;NaN;NaN;17762.0;NaN;NaN;0.0
305081;drt;drt;NaN;35168;714451.8640488597;5360881.68375371;null;NaN;NaN;17765.0;NaN;NaN;0.0
181111;drt;drt;NaN;1130;704377.8650542388;5363268.891503792;null;NaN;NaN;17796.0;NaN;NaN;0.0
301786;drt;drt;NaN;36253;723862.5961825906;5348528.916890919;null;NaN;NaN;17867.0;NaN;NaN;0.0
216951;drt;drt;NaN;53555;706640.6334869424;5382113.327201946;null;NaN;NaN;17877.0;NaN;NaN;0.0
