iteration;indicator:mode_share:bicycle;indicator:mode_share:car;indicator:mode_share:car_passenger;indicator:mode_share:drt;indicator:mode_share:pt;indicator:mode_share:walk;criterion:mode_share:bicycle;criterion:mode_share:car;criterion:mode_share:car_passenger;criterion:mode_share:drt;criterion:mode_share:pt;criterion:mode_share:walk
36;0.03386838025076403;0.5455506860609971;0.10268061194310757;0.18196972548597853;0.045080167415015374;0.09085042884413734;0.004589664531699245;0.015482341529315491;0.013644412943739928;0.04700884792745895;0.015432684239769033;0.0050390737463337784
37;0.0341565380353008;0.5453153015163665;0.10173981205344673;0.1846489291731613;0.043454756777698694;0.09068466244402598;0.004430611735440589;0.015015748963079334;0.013161739277686463;0.04562012227348232;0.0149799488078615;0.004893296960295627
38;0.03449368521117197;0.5445566067629352;0.1005477343714635;0.18722556697297543;0.04317595400841972;0.09000045267303426;0.004286612795805657;0.014552793034358968;0.012691221951117382;0.04424677874914208;0.014514435742211201;0.004774940817260099
39;0.03456931598046438;0.5438505543277582;0.09958800578428965;0.18964466635744365;0.0427546315243786;0.08959282602566551;0.00415558061546819;0.014089940531075817;0.012244398547602647;0.04286723590834983;0.013999826280965279;0.004688651164174302
40;0.034745050770691795;0.5428902768646359;0.0990302432610125;0.19185112133830082;0.04234239170136606;0.08914091606399299;0.003989278504946421;0.013708506143476629;0.011759355055764753;0.041497446240000166;0.0134767779865224;0.004542085559182744
41;0.03489652135623073;0.5416299721121386;0.09880008806693087;0.19407749889916337;0.041327242037281664;0.0892686775282548;0.0038101144418160255;0.013284223494839709;0.011323435931979486;0.040121627287772646;0.012928683268022587;0.004395399034746923
42;0.03514335761039919;0.5401124734949756;0.09862634829906887;0.1963492209827602;0.040794689775974925;0.08897390983682124;0.0036292835537646085;0.012838569558081159;0.010903464691852702;0.03879227161557676;0.012423930716662965;0.004255590202744451
43;0.035445429039695546;0.5378945711454948;0.09864162893413705;0.1985055140420567;0.04051964406418697;0.08899321277442893;0.003457739796825313;0.012369406824825346;0.010507911643352214;0.0374506034777381;0.011916514673672794;0.004114510132713038
44;0.03552728253489951;0.5370571877644783;0.09784883234284758;0.20068264464347163;0.039851938654985444;0.08903211405931755;0.003291644752472838;0.012032678933467045;0.010112166801680075;0.036155524776604;0.011355218180313938;0.003947105613615749
45;0.03570229434806939;0.5365603432195486;0.0976776720761052;0.20235030777839955;0.03909718336131319;0.08861219921656407;0.0031115953292895184;0.01172205905251189;0.00975813186068901;0.03492150626264148;0.010796603149412894;0.0037563075293172024
46;0.0358308320944019;0.5361347209365387;0.0975342926870319;0.20387668658307387;0.03849570347929348;0.0881277642196602;0.0029256449573502085;0.01138419964115256;0.009371985980285116;0.033713240235657166;0.010303214629971455;0.0035794849415982663
47;0.03588108412266717;0.53567476319985;0.0970927506330301;0.2054768826784207;0.03795367157460377;0.08792084779142831;0.002761605663061076;0.01106819807231263;0.00900811024361578;0.0325050165710897;0.00980268422604716;0.0033876296921751545
48;0.03604214332118747;0.5350017418486193;0.09643250571985425;0.20728940108653693;0.037256729655678895;0.08797747836812322;0.002589996893788347;0.010728243573878582;0.008614781839091631;0.03126522399803816;0.009296599203796975;0.0032155962750593107
49;0.03619538148064297;0.5345445626745151;0.09587955625990491;0.20853143159006868;0.03711040676175383;0.08773866123311448;0.0024144977784175204;0.010376986694792256;0.008221111471984732;0.030075907780786004;0.008849762298699375;0.003042545093727118
49;0.03611371092014332;0.5342087599383609;0.095578433875039;0.2095540618470934;0.03674711893889976;0.08779791448046362;0.002256350421503445;0.010002706222478785;0.007812163263715006;0.028894563869061307;0.008402531897335613;0.0029335129070353497
