person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance;origin_link_id;destination_link_id
330203;0;729133.8978781425;5359412.636104122;729133.8978781425;5359412.636104122;0.0;0.0;0.0;0.0;walk;leisure;leisure;false;0.0;64664;64664
283997;0;697282.7741866352;5354860.970786871;697239.3807470509;5355668.82517566;0.0;469.0;2213.1080715460125;2323.969510358688;car;work;home;true;809.0189763432885;12590;38682
174524;0;715986.2806696547;5354602.988076213;714588.103525599;5351474.039636315;11933.0;806.0;4432.246638691352;4485.477665521215;car;home;work;false;3427.1296540545045;47429;19382
180251;0;704618.7908079501;5356321.17643548;704618.7908079501;5356321.17643548;13218.0;0.0;0.0;0.0;walk;work;work;false;0.0;28047;28047
145009;0;714976.1995000499;5350781.423593109;714976.1995000499;5350781.423593109;13264.0;0.0;0.0;0.0;walk;work;work;false;0.0;6116;6116
209671;0;721373.4428568739;5362076.839845424;701299.194149443;5364603.258463265;11309.0;2321.0;31955.606019386363;32228.262833655506;car;home;work;false;20232.60369305861;56970;5577
130145;0;693135.9455771622;5364745.729637068;693135.9455771622;5364745.729637068;13662.0;46.0;0.0;58.29580935034053;walk;home;work;false;0.0;62624;62624
78518;0;688673.9379747886;5386953.257173812;688758.5095389616;5387245.097856976;13508.0;331.0;0.0;414.2690890381726;walk;home;work;false;303.8475502885253;23042;81170
260445;0;683818.207793423;5378004.140094884;684713.2249264626;5376945.238651378;13363.0;616.0;3055.7010417589877;3330.2678918270312;car;home;work;false;1386.4804129496001;18653;14396
184991;0;699185.1642129092;5364888.916695055;699185.1642129092;5364888.916695055;13988.0;0.0;0.0;0.0;walk;work;work;false;0.0;55564;55564
231961;0;684446.496477636;5378327.712152402;684885.9506522298;5381368.609490723;13940.0;575.0;4621.35668179714;4670.111166640578;car;home;work;false;3072.487037202644;72819;5428
68463;0;717081.0011215103;5357012.361078917;716728.3505853305;5357123.759016706;14232.0;337.0;0.0;421.5534958908346;walk;home;work;false;369.8268530156269;12686;1181
262816;0;692251.7374123738;5405123.36886042;692601.1171459216;5405046.422452524;14178.0;399.0;0.0;499.5108664068508;walk;work;home;true;357.7526350733962;40966;66553
280933;0;687037.4912170107;5366652.26492632;688760.1369494244;5363717.195725439;14123.0;507.0;4108.966708197467;4267.729091328511;car;work;home;true;3403.2542563497213;71537;18812
114036;0;682779.0118996636;5391986.922037213;692559.2702566549;5395044.497780612;12947.0;1688.0;16362.903780090888;16620.888453153373;car;work;home;true;10247.05923453742;52090;41455
248574;0;690781.4385724234;5357050.695320392;688177.2717704938;5361882.957477137;14000.0;770.0;6213.069897234741;6351.8391108451715;car;work;home;true;5489.302531632418;9722;72030
157364;0;705147.4654210478;5358998.604048118;703658.6345950586;5354382.712159008;13578.0;1296.0;13818.897952216957;13984.180331973093;car;work;home;true;4850.059294520933;44531;25859
85529;0;716918.9047191617;5372159.024647877;716100.609328387;5371608.731412456;13959.0;993.0;0.0;1241.9629335486698;walk;leisure;home;true;986.1186498147431;1521;6061
155254;0;703473.6029453266;5367538.937613163;702434.6885686959;5362801.182358157;13858.0;1107.0;6643.77738282968;6717.151587054371;car;home;work;false;4850.326580582929;2397;26155
166926;0;686810.1028073812;5378479.150413508;686709.0533476907;5378567.27664914;14953.0;151.0;0.0;189.76970224629045;walk;leisure;work;false;134.07918074943882;31161;64370
215560;0;704091.7152010495;5375957.685777579;704091.7152010495;5375957.685777579;15132.0;0.0;0.0;0.0;walk;work;work;false;0.0;56719;56719
174532;0;716356.0952848629;5354651.942987543;714752.2203729621;5351151.30378424;14289.0;851.0;5550.553308027707;5603.482000145024;car;home;work;false;3850.570031141329;20250;32863
324466;0;681755.5890532098;5398146.891640302;685275.3207541753;5398322.184723091;14580.0;604.0;4800.363513569285;4859.4022866747055;car;home;work;false;3524.094055449672;40524;58113
127655;0;703403.0748593387;5365137.531691523;702579.297629222;5364795.72740669;14944.0;260.0;0.0;1085.9796968006513;bicycle;leisure;home;true;891.873922698226;54841;27276
298814;0;716076.7204615469;5351555.784794647;714257.401162081;5355031.018293802;14454.0;948.0;6962.333044448562;7029.1010975016725;car;home;work;false;3922.6484149174294;41040;72841
144161;0;716629.8986803344;5359189.123366887;701299.194149443;5364603.258463265;13761.0;1704.0;24483.045791427234;24724.89357171066;car;home;work;false;16258.63955733492;53770;5577
155073;0;700860.6374653123;5358386.591295779;702680.8350308242;5362751.6709575;15124.0;406.0;0.0;5163.73178497298;car_passenger;home;work;false;4729.380470068887;18096;993
251657;0;704618.7908079501;5356321.17643548;703130.0097196044;5355080.942702044;15012.0;540.0;2887.64677479261;3091.58870020272;car;work;home;true;1937.6916273154995;28047;4467
169596;0;692419.5432439178;5404940.802042619;684631.1792029967;5397421.380676267;13950.0;1603.0;17723.77225785396;17976.685201839202;car;home;work;false;10825.909297545059;62115;34332
186376;0;698965.5199533997;5364110.400800835;703281.9389366154;5364889.977501478;14598.0;1031.0;5280.136456591644;5484.524229600433;car;home;work;false;4386.252691176127;64088;56246
142828;0;722715.5770173934;5357672.727710253;714419.4295741741;5355256.572445482;14452.0;1207.0;10677.5274765361;10796.435943653005;car;home;work;false;8640.825693364797;30954;64041
218714;0;704524.2040187082;5359479.157654702;704131.3066421852;5363014.26784827;15173.0;502.0;0.0;6550.944953148828;car_passenger;home;work;false;3556.8767801470203;40088;492
159391;0;701299.194149443;5364603.258463265;716547.4469253016;5371475.338652022;13673.0;2026.0;19517.799541861048;19793.079732035756;car;work;home;true;16725.271263485804;5577;66499
166846;0;684885.9506522298;5381368.609490723;684885.9506522298;5381368.609490723;15754.0;0.0;0.0;0.0;walk;work;work;false;0.0;5428;5428
186818;0;704200.6600354405;5364217.45489094;700891.7028357588;5364211.813306129;14849.0;941.0;5093.290338760598;5256.23274356132;car;home;work;false;3308.962008969629;53429;14542
259426;0;682108.1767309107;5396465.572438403;682554.5632791752;5398449.210390325;15337.0;605.0;0.0;2521.9240730780407;bicycle;home;work;false;2033.2438306252227;45501;39585
157401;0;702277.6527976088;5352917.558116328;702920.0394349783;5356257.920400111;14963.0;1036.0;0.0;6448.912301556983;car_passenger;home;work;false;3401.5703401210335;47235;44114
181239;0;724732.6457621034;5366491.607217567;704760.3327027047;5370412.454983464;14643.0;1451.0;0.0;37456.39600607813;car_passenger;home;work;false;20353.533750824925;34664;9350
277499;0;703509.9824468461;5364783.905416306;701299.194149443;5364603.258463265;15406.0;727.0;3412.482912800722;3665.3346810408552;car;home;work;false;2218.1564907773227;70813;5577
149505;0;713114.0909822616;5366245.431198466;705097.0083248089;5361507.17479243;15227.0;961.0;11602.707198158727;11807.885179478682;car;home;work;false;9312.60909228787;53295;50075
218404;0;702752.3450130022;5364136.067694619;702941.6932236283;5364668.164825896;15644.0;569.0;0.0;711.5483583643215;walk;home;work;false;564.783234506846;70687;51287
260450;0;680924.1004275833;5378451.621704528;684910.4824140095;5377684.449843468;15375.0;854.0;6073.261871136016;6311.310021864608;car;home;work;false;4059.5312544806725;35488;45239
258341;0;681685.0067185587;5395073.049707222;681419.7775543304;5394528.085084141;15617.0;643.0;0.0;804.2748451762785;walk;home;work;false;606.0799864428715;64627;42361
