stop_id;stop_name;lat;long;fixed_stop;stop_order;pos_x;pos_y;utm_zone_number;utm_zone_letter;node_index;distance_to_node
101;Freising Bahnhof Start;48.3960717;11.7450915;True;1;703190.0603903192;5363964.481679752;32;U;22473;0.004545500735322951
102;Sonnenstraße;48.4014718;11.7526675;False;2;703729.2028499878;5364584.772007752;32;U;5874;18.649481210253363
103;Landshuter Straße;48.4042098;11.7520899;False;3;703675.5186627675;5364887.532659109;32;U;5682;23.32741103272109
104;Kölblstraße;48.4039154;11.7540143;False;4;703819.1029642695;5364859.934672389;32;U;5875;16.382693533964893
105;Angererweg;48.4052156;11.7559419;False;5;703956.5457774719;5365009.570339103;32;U;5676;11.238354460983023
106;Landratsamt;48.4071558;11.757819;True;6;704087.6818505587;5365230.203629809;32;U;2046;14.890073015535712
107;Wiesenthalstraße;48.4088594;11.7596349;False;7;704215.2266202387;5365424.381665522;32;U;12909;34.71813187940475
108;Altenhauser Straße;48.4116398;11.7625519;False;8;704419.9152787213;5365741.176589309;32;U;12782;23.810085245615554
109;Moltkestraße;48.4125746;11.7578811;False;9;704070.5795895669;5365832.6070713485;32;U;12899;19.78190502391781
110;Angermaierstraße;48.412601;11.7549152;False;10;703851.0309785637;5365827.638958859;32;U;2047;22.433285941174905
111;Asamstraße;48.4097186;11.7524467;False;11;703679.9088739682;5365500.722365525;32;U;12287;27.299899744770023
112;Gen.-v.-Stein-Straße;48.408525;11.7496099;False;12;703474.770802525;5365360.523672282;32;U;69;5.981074521851814
113;Steinpark;48.4099226;11.7481936;True;13;703364.3958262362;5365512.087832506;32;U;35469;32.52129569077311
114;Veit-Adam-Straße;48.4104578;11.7473083;False;14;703296.7554004388;5365569.217921935;32;U;3018;0.004544694162567195
115;Waldfriedhof;48.4127792;11.7456297;False;15;703163.2986824701;5365822.759190614;32;U;10638;24.442404099829318
116;Karwendelring;48.4117763;11.7399298;False;16;702745.5614523492;5365696.186697069;32;U;18640;21.766301772664338
117;Prechtlstraße;48.4101076;11.7417761;False;17;702888.8117919954;5365515.620790566;32;U;3027;21.7373824167959
118;Seniorenzentrum;48.40856;11.7442346;False;18;703076.8880103142;5365350.140944314;32;U;3024;27.147143977053737
119;Vimystraße;48.4073822;11.7451458;False;19;703149.0059787608;5365221.659222386;32;U;33894;5.528418679915682
120;Klinikum Ost;48.4053581;11.7467641;False;20;703276.8257491059;5365000.99886263;32;U;11871;46.757799479615386
121;Hofmiller-Gymnasium;48.4057455;11.7424631;False;21;702957.012560394;5365032.643375771;32;U;22548;36.43130269875254
122;Hofmiller-/Vimystr.1;48.4057092;11.7410088;False;22;702849.5406850337;5365024.754814124;32;U;22547;5.5909043965272645
123;Freising, Klebelstrasse;48.4033122;11.7480297;False;23;703378.6411714123;5364776.981396006;32;U;5861;14.400555381634472
124;Klinikum Süd;48.4035999;11.7444397;False;24;703111.8269765491;5364799.425945333;32;U;22653;13.597103366656043
125;Kammergasse;48.4026497;11.7439157;False;25;703076.83503887;5364692.43201843;32;U;26461;60.78688854254516
126;Christopher-Paudiß-Platz;48.4010264;11.7509508;False;26;703603.9374278884;5364530.70443154;32;U;8680;9.093618531033322
127;Ottostraße/Heiliggeistgasse;48.3995295;11.7501741;False;27;703552.4334308042;5364362.276027521;32;U;12796;11.085476708013543
128;Heiliggeistgasse;48.4000095;11.7495094;False;28;703501.3246950695;5364413.855665456;32;U;8669;6.654858471638646
129;Untere Hauptstraße;48.4015579;11.7483029;False;29;703405.8577349632;5364582.736693056;32;U;12805;14.689933391409346
130;Luckengasse;48.4014243;11.7472873;False;30;703331.2313290142;5364565.1910024;32;U;12805;62.42413880644561
131;Amtsgerichtsgasse;48.4015181;11.746633;False;31;703282.4358857854;5364573.878420619;32;U;12804;75.74301088134625
132;Marienplatz;48.4008811;11.7444713;False;32;703124.9975042236;5364497.346033601;32;U;6155;6.065921329984937
133;Obere Hauptstraße;48.3995673;11.7417501;False;33;702928.8419971851;5364344.116519774;32;U;35319;3.4724037123888345
134;Ziegelgasse;48.4008397;11.7420284;False;34;702944.3736011689;5364486.266943038;32;U;12814;11.42373845220679
135;Freising, Stadtfriedhof;48.4022964;11.740619;False;35;702834.2742899935;5364644.427907358;32;U;35451;25.752547199303645
136;Alois-Steinecker-Straße;48.4032916;11.7407488;False;36;702839.9203121943;5364755.377006215;32;U;5858;18.972761253963604
137;Prinz-Ludwig-Straße;48.4040278;11.7395059;False;37;702745.0149940514;5364833.9052650565;32;U;13009;20.196320302333284
138;Camerloherstraße;48.4065005;11.7381565;False;38;702635.3283934651;5365105.145622944;32;U;13014;32.30015266961703
139;Düwellstraße;48.4080183;11.737508;False;39;702581.3086894418;5365272.115868925;32;U;35453;6.7698987296903255
140;Rotkreuzstraße;48.4111423;11.7377741;False;40;702588.5814190442;5365620.01772805;32;U;33888;6.822672594258097
141;Wallbergstraße;48.4118921;11.7365333;False;41;702493.7944254539;5365700.066826726;32;U;8735;15.17808263041851
142;Kleine Wies;48.4127656;11.7354791;False;42;702412.3250868148;5365794.358697584;32;U;3058;38.500640753823824
143;Plantagenweg;48.4108909;11.7352029;False;43;702399.334369174;5365585.276360757;32;U;12276;59.014654060987766
144;Plantagenweg Süd;48.4085569;11.7358098;False;44;702453.5103493532;5365327.483013115;32;U;8432;37.80372839473393
145;Wettersteinring;48.4101112;11.7340917;False;45;702320.2103232503;5365495.684128925;32;U;6251;21.859128841509133
146;Am Kneippgarten;48.4094562;11.7321064;False;46;702175.9113005087;5365417.64334873;32;U;10093;19.088847419390945
147;Berufsschule;48.407811;11.7296916;True;47;702003.7520581781;5365228.423284931;32;U;22546;5.602227287748558
148;Obervellacher Straße;48.4052265;11.7327726;False;48;702241.9868102632;5364949.318923068;32;U;22465;5.930970366263628
149;Lange Point;48.4039064;11.7303068;False;49;702064.7512160346;5364796.093937696;32;U;3043;44.88065460611119
150;Biernerstraße;48.404221;11.7328425;False;50;702251.1485858912;5364837.753498847;32;U;3036;53.16948478657566
151;Stadtwerke;48.4032749;11.7346679;False;51;702389.9859823268;5364737.428761325;32;U;77;54.666131975245044
152;Freising, AOK;48.4010836;11.7370022;False;52;702571.4362961795;5364500.0636324;32;U;12827;51.934675117923
153;Schönmetzlerstraße;48.3996397;11.7380706;False;53;702656.2428839168;5364342.417699834;32;U;33885;4.519507841010645
154;Freising, Am Staudengarten;48.3992269;11.7290022;False;54;701986.7472506985;5364272.577652303;32;U;35517;4.254867738613466
155;Thalhauser Straße;48.3991486;11.73431;False;55;702379.8790748144;5364277.890965874;32;U;12996;42.21063886904411
156;Freising, Weihenstephaner Straße;48.3981245;11.73728;False;56;702603.7530730368;5364171.928168845;32;U;9975;8.039249608772252
157;Johannisstraße;48.3976792;11.7394633;False;57;702767.109470845;5364128.217450454;32;U;30971;47.97465095426374
158;Fürstendamm;48.3970891;11.7423007;False;58;702979.4556957153;5364070.152227433;32;U;34263;5.5641898763538125
159;Freising Bahnhof Ende;48.3960717;11.7450915;True;59;703190.0603903192;5363964.481679752;32;U;22473;0.004545500735322951
