,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,1.0,32776,35000
1,0,1,1.0,32776,35000
2,0,2,1.0,32776,35000
3,0,3,1.0,32776,35000
4,0,4,1.0,32776,35000
5,0,5,1.0,32776,35000
6,0,6,1.0,32776,35000
7,0,7,1.0,32776,35000
8,0,8,1.0,32776,35000
9,0,9,1.0,32776,35000
10,0,10,1.0,32776,35000
11,0,11,1.0,32776,35000
12,0,12,1.0,32776,35000
13,0,13,1.0,32776,35000
14,0,14,1.0,32776,35000
15,0,15,1.0,32776,35000
16,0,16,1.0,32776,35000
17,0,17,1.0,32776,35000
18,0,18,1.0,32776,35000
19,0,19,1.0,32776,35000
20,0,20,1.0,32776,35000
