,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,1.0,9064,35000
1,0,1,1.0,9064,35000
2,0,2,1.0,9064,35000
3,0,3,1.0,9064,35000
4,0,4,1.0,9064,35000
5,0,5,1.0,9064,35000
6,0,6,1.0,9064,35000
7,0,7,1.0,9064,35000
8,0,8,1.0,9064,35000
9,0,9,1.0,9064,35000
10,0,10,1.0,9064,35000
11,0,11,1.0,9064,35000
12,0,12,1.0,9064,35000
13,0,13,1.0,9064,35000
14,0,14,1.0,9064,35000
15,0,15,1.0,9064,35000
16,0,16,1.0,9064,35000
17,0,17,1.0,9064,35000
18,0,18,1.0,9064,35000
19,0,19,1.0,9064,35000
20,0,20,1.0,9064,35000
21,0,21,1.0,9064,35000
22,0,22,1.0,9064,35000
23,0,23,1.0,9064,35000
24,0,24,1.0,9064,35000
25,0,25,1.0,9064,35000
26,0,26,1.0,9064,35000
27,0,27,1.0,9064,35000
28,0,28,1.0,9064,35000
29,0,29,1.0,9064,35000
30,0,30,1.0,9064,35000
31,0,31,1.0,9064,35000
32,0,32,1.0,9064,35000
33,0,33,1.0,9064,35000
34,0,34,1.0,9064,35000
35,0,35,1.0,9064,35000
36,0,36,1.0,9064,35000
37,0,37,1.0,9064,35000
38,0,38,1.0,9064,35000
39,0,39,1.0,9064,35000
40,0,40,1.0,9064,35000
41,0,41,1.0,9064,35000
42,0,42,1.0,9064,35000
43,0,43,1.0,9064,35000
44,0,44,1.0,9064,35000
45,0,45,1.0,9064,35000
46,0,46,1.0,9064,35000
47,0,47,1.0,9064,35000
48,0,48,1.0,9064,35000
49,0,49,1.0,9064,35000
50,0,50,1.0,9064,35000
