stop_id;stop_name;lat;long;fixed_stop;stop_order;pos_x;pos_y;utm_zone_number;utm_zone_letter;node_index;distance_to_node
201;Freising Bf Anfang;48.3960717;11.7450915;True;1;703190.0603903192;5363964.481679752;32;U;22473;0.004545500735322951
202;Ottostraße/Heiliggeistgasse;48.3995295;11.7501741;True;2;703552.4334308042;5364362.276027521;32;U;12796;11.085476708013543
203;Sonnenstraße;48.4014718;11.7526675;True;3;703729.2028499878;5364584.772007752;32;U;5874;18.649481210253363
204;Kölblstraße;48.4040095;11.7541327;True;4;703827.4884769968;5364870.708014224;32;U;5875;11.000615040017468
205;Angererweg;48.4051497;11.7563008;True;5;703983.3678530618;5365003.202473872;32;U;12280;9.671600498343446
206;Landratsamt;48.4070477;11.7578959;True;6;704093.8050120645;5365218.394551823;32;U;34590;13.651388827822437
207;Wiesenthalstraße;48.4093747;11.7600919;True;7;704246.9769538963;5365482.870528484;32;U;5666;19.561502775242598
208;Moltkestraße;48.4126716;11.7578005;True;8;704064.2276996069;5365843.172661962;32;U;12899;25.8881694887048
209;Angermaierstraße;48.4127138;11.7548291;True;9;703844.2093736582;5365839.946129773;32;U;2047;15.693480781615072
210;Asamstraße;48.4097186;11.7524467;True;10;703679.9088739682;5365500.722365525;32;U;12287;27.299899744770023
211;Gen.-v.-Stein-Straße;48.4086194;11.7497087;True;11;703481.7046117624;5365371.277760777;32;U;69;7.112591250890802
212;Steinpark;48.4099226;11.7481936;True;12;703364.3958262362;5365512.087832506;32;U;35469;32.52129569077311
213;Waldfriedhof;48.4127792;11.7456297;True;13;703163.2986824701;5365822.759190614;32;U;10638;24.442404099829318
214;Karwendelring;48.4118782;11.7399046;True;14;702743.2915375874;5365707.445004864;32;U;18640;25.286787843780775
215;Rotkreuzstraße;48.4111423;11.7377741;True;15;702588.5814190442;5365620.01772805;32;U;33888;6.822672594258097
216;Wettersteinring;48.4101112;11.7340917;True;16;702320.2103232503;5365495.684128925;32;U;6251;21.859128841509133
217;Am Kneippgarten;48.4094562;11.7321064;True;17;702175.9113005087;5365417.64334873;32;U;10093;19.088847419390945
218;Berufsschule;48.407811;11.7296916;True;18;702003.7520581781;5365228.423284931;32;U;22546;5.602227287748558
219;Obervellacher Straße;48.4063127;11.7315433;True;19;702146.711786133;5365066.791392983;32;U;22466;5.171058351758537
220;Stadtwerke;48.4032749;11.7346679;True;20;702389.9859823268;5364737.428761325;32;U;77;54.666131975245044
221;AOK;48.4010836;11.7370022;True;21;702571.4362961795;5364500.0636324;32;U;12827;51.934675117923
222;Schönmetzlerstraße;48.3996397;11.7380706;True;22;702656.2428839168;5364342.417699834;32;U;33885;4.519507841010645
223;Freising Bf Ende;48.3960441;11.7450916;True;23;703190.1777680197;5363961.414521304;32;U;22473;3.07394909168896
