source_edge_id,from_node,to_node,distance,travel_time,capacity,freespeed,permlanes
1,12397,12398,47.594561599291836,0.17509003241784932,600.0,8.333333333333334,1.0
10,29146,34746,19.121412962658713,0.7263526453830494,1500.0,13.88888888888889,1.0
100,35052,12405,8.333333333333334,1.0,600.0,8.333333333333334,1.0
1000,27137,8870,97.26062209468563,0.04284022224955865,600.0,4.166666666666667,1.0
10000,13101,16442,507.51921903094245,0.05473246477407631,4000.0,27.77777777777778,2.0
10001,13101,28630,192.52929568245776,0.1442781872717812,2000.0,27.77777777777778,1.0
10002,28630,13101,192.52929568245776,0.1442781872717812,4000.0,27.77777777777778,2.0
10005,8918,28074,75.22329777564048,0.0369270938647588,300.0,2.7777777777777777,1.0
10006,28074,8918,75.22329777564048,0.0369270938647588,300.0,2.7777777777777777,1.0
10007,10952,10953,522.8342214276987,0.05312922651070018,600.0,27.77777777777778,1.0
10008,10953,10952,522.8342214276987,0.05312922651070018,600.0,27.77777777777778,1.0
10009,10953,10954,501.54638307523686,0.055384264975570245,600.0,27.77777777777778,1.0
1001,27137,10512,31.237776938814932,0.13338550546755834,600.0,4.166666666666667,1.0
10010,10954,10953,501.54638307523686,0.055384264975570245,600.0,27.77777777777778,1.0
10011,10954,9064,66.51306209732567,0.4176289123049509,600.0,27.77777777777778,1.0
10012,9064,10954,66.51306209732567,0.4176289123049509,600.0,27.77777777777778,1.0
10013,16443,6174,172.5289808698197,0.16100354640555878,2000.0,27.77777777777778,1.0
10014,6174,16443,172.5289808698197,0.16100354640555878,2000.0,27.77777777777778,1.0
10015,3462,3460,156.44125658809398,0.08878021815855133,1000.0,13.88888888888889,1.0
10016,3460,3462,156.44125658809398,0.08878021815855133,1000.0,13.88888888888889,1.0
10019,13282,13283,9.066485241167177,0.765946699269148,600.0,6.944444444444445,1.0
1002,10512,27137,31.237776938814932,0.13338550546755834,600.0,4.166666666666667,1.0
10020,13283,13282,9.066485241167177,0.765946699269148,600.0,6.944444444444445,1.0
10021,30152,10949,140.72441353373935,0.05921739607275306,600.0,8.333333333333334,1.0
10022,10949,30152,140.72441353373935,0.05921739607275306,600.0,8.333333333333334,1.0
10023,17423,2489,173.8731421567799,0.07987943805815276,600.0,13.88888888888889,1.0
10024,2489,17423,173.8731421567799,0.07987943805815276,600.0,13.88888888888889,1.0
10025,7871,13098,172.5896652428907,0.16094693583584663,2000.0,27.77777777777778,1.0
10026,13098,7871,172.5896652428907,0.16094693583584663,2000.0,27.77777777777778,1.0
10027,33505,16504,105.35741214596906,0.06591320252649292,600.0,6.944444444444445,1.0
10028,16504,33505,105.35741214596906,0.06591320252649292,600.0,6.944444444444445,1.0
10029,16503,33505,22.271895503881613,0.311803027417857,600.0,6.944444444444445,1.0
1003,10512,8858,95.90582349826614,0.04344539794021992,600.0,4.166666666666667,1.0
10030,33505,16503,22.271895503881613,0.311803027417857,600.0,6.944444444444445,1.0
10031,32074,26676,11.538715469087661,0.7222063283957751,600.0,8.333333333333334,1.0
10032,28222,21972,173.6141332659064,0.04799916444918715,600.0,8.333333333333334,1.0
10033,21972,28222,173.6141332659064,0.023999582224593575,600.0,4.166666666666667,1.0
10034,3594,10824,41.757828711347756,0.09978168873359952,600.0,4.166666666666667,1.0
10035,10824,3594,41.757828711347756,0.09978168873359952,600.0,4.166666666666667,1.0
10036,28215,28216,125.19722349424225,0.03328082325131028,600.0,4.166666666666667,1.0
10037,28216,28215,125.19722349424225,0.03328082325131028,600.0,4.166666666666667,1.0
10038,28217,28218,120.9974318010881,0.03443599260450747,600.0,4.166666666666667,1.0
10039,28218,28217,120.9974318010881,0.03443599260450747,600.0,4.166666666666667,1.0
1004,8858,10512,95.90582349826614,0.04344539794021992,600.0,4.166666666666667,1.0
10040,28220,28221,66.14132841544229,0.0629964164084412,600.0,4.166666666666667,1.0
10041,28221,28220,66.14132841544229,0.0629964164084412,600.0,4.166666666666667,1.0
10042,16308,29069,15.197196791342149,0.5483467410306115,600.0,8.333333333333334,1.0
10043,29069,16308,15.197196791342149,0.5483467410306115,600.0,8.333333333333334,1.0
