node_index,source_node_id,pos_x,pos_y,is_stop_only
0,10005699680,698226.4671571567,5368653.401394582,False
1,10005699708,698685.7389518955,5368458.193468746,False
2,10005699710,698715.583642432,5368515.191351554,False
3,10010384701,725002.1901005323,5339737.9264378175,False
4,10011265167,725719.2370548076,5340045.820363572,False
5,10013821737,720922.7549350004,5349231.975859441,False
6,10013821738,720718.5762925877,5349214.07396247,False
7,10015379848,680600.3786377863,5395774.192261142,False
8,10015379851,680620.5393945884,5395766.452186712,False
9,10015952478,703775.843620528,5358977.947069034,False
10,10015952479,703459.2915750159,5358925.039577806,False
11,10015952480,703559.6611205873,5358945.17437665,False
12,10015952482,702564.5760794415,5358832.148390769,False
13,10015952483,702564.52994309,5358827.829099894,False
14,10016337547,726250.9565649335,5339960.007579014,False
15,10016511400,706162.3090045878,5359332.885327537,False
16,10016511402,706500.9862906103,5359381.020054198,False
17,10016625824,699309.5220164345,5358380.997634145,False
18,10016625826,699296.2703109665,5358360.614135377,False
19,10017548542,703405.3517487665,5365034.1824588,False
20,10017548543,703410.4132701387,5365034.364185479,False
21,10017548544,703415.5709899811,5365034.549370685,False
22,10017548545,703431.8395286397,5365035.0333610345,False
23,10017548546,703435.3700719104,5365035.1378798,False
24,10017548547,703440.8101845935,5365035.299843716,False
25,10017548548,703447.4124783365,5365035.492419113,False
26,10017548549,703468.5883385412,5365036.119357258,False
27,10017548564,703479.1581682479,5365036.421077735,False
28,10017548566,703497.3658768554,5365036.963776086,False
29,10017548582,703507.5209141284,5365037.26177865,False
30,10017548583,703532.9171054557,5365037.973789036,False
31,10017548592,703547.3906682965,5365038.304600379,False
32,10020694020,718527.652425265,5347792.382526796,False
33,10021408441,699551.4984996847,5356782.857635109,False
34,10021533486,696001.6474043992,5354506.345398511,False
35,10021533493,697414.6038931748,5355593.570081115,False
36,10023950348,699047.9680902285,5356751.22514682,False
37,10024185271,699717.1492545339,5359016.164678748,False
38,10024204253,703317.4954364666,5364852.154492073,False
39,10024210657,700022.9501044666,5359485.491818874,False
40,10024232520,703320.5961535219,5364841.527073752,False
41,10024331382,703261.4275889432,5365062.9912764,False
42,10028334788,715038.574425335,5351986.28770264,False
43,10028334813,714391.1534125776,5349905.304853427,False
44,10028721710,727962.5552638253,5340384.763158449,False
45,10028804818,703352.8183153569,5364782.75824248,False
46,10031090647,701030.3362962579,5365182.117170283,False
47,10031166560,701996.7823726572,5364298.100309389,False
48,10032817948,702777.7314653632,5364717.879425165,False
